team,wins,losses,win_pct,ppg,opp_ppg,point_diff
UT Rio Grande Valley Vaqueros,5,11,0.3125,73.25,75.875,-2.625
Mississippi Valley State Delta Devils,3,14,0.17647058823529413,56.588235294117645,85.41176470588235,-28.823529411764707
Missouri State Bears,6,5,0.5454545454545454,70.81818181818181,62.09090909090909,8.727272727272727
California Baptist Lancers,4,9,0.3076923076923077,67.0,74.07692307692308,-7.076923076923077
UNC Greensboro Spartans,5,5,0.5,61.9,70.0,-8.1
SE Louisiana Lions,6,6,0.5,66.83333333333333,72.75,-5.916666666666667
Bryant Bulldogs,5,8,0.38461538461538464,71.3076923076923,77.53846153846153,-6.230769230769231
Northern Colorado Bears,5,7,0.4166666666666667,72.41666666666667,81.33333333333333,-8.916666666666666
Army Black Knights,1,9,0.1,64.0,76.7,-12.7
New Orleans Privateers,9,10,0.47368421052631576,71.0,77.78947368421052,-6.7894736842105265
UTSA Roadrunners,5,10,0.3333333333333333,78.86666666666666,79.86666666666666,-1.0
Idaho State Bengals,2,5,0.2857142857142857,64.57142857142857,70.14285714285714,-5.571428571428571
Norfolk State Spartans,15,11,0.5769230769230769,71.96153846153847,65.53846153846153,6.423076923076923
Grambling Tigers,7,20,0.25925925925925924,62.25925925925926,74.07407407407408,-11.814814814814815
UC Riverside Highlanders,6,5,0.5454545454545454,68.18181818181819,68.9090909090909,-0.7272727272727273
Coppin State Eagles,3,15,0.16666666666666666,63.611111111111114,78.0,-14.38888888888889
Nicholls Colonels,6,15,0.2857142857142857,70.38095238095238,78.9047619047619,-8.523809523809524
Utah Valley Wolverines,8,4,0.6666666666666666,76.75,67.33333333333333,9.416666666666666
Evansville Purple Aces,2,7,0.2222222222222222,60.55555555555556,73.88888888888889,-13.333333333333334
